# schema	kj.music.inventory/1
# root	J:\jubilujah.com\music\children\party-giggles
# albums	30
# tracks	379
# bytes	1406776400
# albums_with_duplicate_track_numbers	2
# duplicate	IX429EN-fireflies-flourish-bright	1,2,3,4,5,6,7,8,9,10,11,12
# duplicate	IX430EN-nala-the-donkey	4,5,6,8,9
album	track	file	bytes	sha256
IX407EN-fox-s-forest-masquerade	3	03_tailspin-praise-confetti.mp3	3605243	3cb742306cdff19f05235adf60bbc0688330198c78a9a6e0992b8031db1f9246
IX407EN-fox-s-forest-masquerade	4	04_praise-lantern-fireworks.mp3	4790939	bc48531b2aa0831ee2b0a826ce9e233f32bf9fd8d29d7488cb1ccd4c0fb7277f
IX407EN-fox-s-forest-masquerade	5	05_echo-dance-in-bamboo-forest.mp3	4261601	502b3c8c71e528ecb651de6c90e98ef8721004e44f069cb5877b117c78f9b554
IX407EN-fox-s-forest-masquerade	6	06_mask-parade-for-the-king.mp3	4588811	8f5372d066c401b15e25ef5ef1dc6c4f9689a3170305879a8cc67224c0a7bc1b
IX407EN-fox-s-forest-masquerade	7	07_sneaky-blessing-blitz.mp3	4313911	7d45ec5d26fc592a40c756a86cbe0f185df85e876a7b605536edc11e2976acd1
IX407EN-fox-s-forest-masquerade	8	08_fox-con-hero-praise.mp3	4221409	0c19d20b150c4716f31b37d805ae022fb919c851353b28d35fe3108da423fd7d
IX407EN-fox-s-forest-masquerade	9	09_fox-fan-club-picnic-praise.mp3	3173055	12dd65b9bf6280d65eb28139e3b5add8b93bcb2e8dcb936cf7565f76f11edbd8
IX407EN-fox-s-forest-masquerade	10	10_feathers-and-fur-for-the-king.mp3	2959463	c98019bf8a1a871c61db1b881dec7d1f9234ee03acbfc31e394430452817a606
IX407EN-fox-s-forest-masquerade	11	11_shake-that-tail-for-jesus.mp3	3289789	314188de3a8e1a1c04c526178df5548019b7afde45663192eb58863dce1bd993
IX407EN-fox-s-forest-masquerade	12	12_mask-off-praise-on.mp3	3236955	3d37007b7eda91df16666170eba63acebb4d66f5a62d5914d78cebd15f8dd6e8
IX408EN-tiger-s-tango	1	01_i-found-my-praise-word-tiggy-lujah.mp3	3197797	db5289815634ce3c8c08dfc590186171c6386f4d2077f595cbf17eb4d053aa37
IX408EN-tiger-s-tango	2	02_roar-a-lujah-roar-all-the-time.mp3	4514789	03807922034152d45cd35d0bb7bf48fc3050e7f2d633b891ff46236ac11df9c8
IX408EN-tiger-s-tango	3	03_tiggy-said-yes.mp3	2688305	01e44b95f40d68379f23dc8528f2afa74bfa813958078b9b0f0c817062f14290
IX408EN-tiger-s-tango	4	04_i-just-cant-stop-bouncin.mp3	2630463	ab6d8632cfb084f17f3a353a57d8685206bf316e4ab6725f75c2108b86d105c1
IX408EN-tiger-s-tango	5	05_shake-the-jungle-with-my-praise.mp3	4547497	0ec6f646218d386d37c0abf30ffc16aa0ab1e071c028cab80bcdc7a29db5e83b
IX408EN-tiger-s-tango	6	06_my-tail-can-praise-too.mp3	3012249	8fcd0e47294998c6640852efa38f54d9f32b1ccefd24683dedaa4ae879a48e9e
IX408EN-tiger-s-tango	7	07_thank-you-jungle-style.mp3	2719499	5f6ae2858e257debc96eb5a5e36777e4e4df44770e11108b4e4bcbd5dabee8e9
IX408EN-tiger-s-tango	8	08_jungle-juice-joy.mp3	2667477	35c33e7d3c6273b5e568a296efecf10082b9713e9bd44e051a808a7eab669dc3
IX408EN-tiger-s-tango	9	09_stomp-your-stripes-off.mp3	3201057	55031430498952df3af0bae5d1aab15d2ffc6b8af015c158ed4d9456c8f69e4c
IX408EN-tiger-s-tango	10	10_double-praise-twirl.mp3	3125235	81d63a97a9b245b5ea6427aed3e16327e1d4057df027633c33797725f0a91c83
IX408EN-tiger-s-tango	11	11_jungle-says-yes.mp3	3304651	f637119e1f6152edafb3febff1f4c316561e0f11b8d2545d7845fa0aa62f65bd
IX408EN-tiger-s-tango	12	12_tiger-tango-jungle-swing.mp3	3175859	5b6f369ba13f7dabc883371f85de133a941eeb8844b5d5265ec9f1cdd77f06d9
IX409EN-kangaroo-s-boomerang-bash	1	01_bounce-a-lujah.mp3	3471209	a709d9415e5c657b195e5feb0f3f06a73f380e84ac6c31191691ca0cbdf83323
IX409EN-kangaroo-s-boomerang-bash	2	02_boomerang-praise.mp3	3918307	896cad640c1da35845392e3ea4e2e81924b1c2bf3bd00dc6d5cdd2742fe2b321
IX409EN-kangaroo-s-boomerang-bash	3	03_outback-hooray.mp3	5253908	89a0891269e68d34184a569caae1eb4e16be5f50fa8eaa488d7b369d9293bfad
IX409EN-kangaroo-s-boomerang-bash	4	04_joey-jump-jam.mp3	2137623	d5e155965e2f01139834900dcc4a56a64e2bef9ef408dc66f7562a1e0814ad44
IX409EN-kangaroo-s-boomerang-bash	5	05_boomers-outback-bounce-off.mp3	3451027	d7ea78ddda336325bbecc5a5e7f130d467b7571957d2394cd478141baefaa030
IX409EN-kangaroo-s-boomerang-bash	6	06_outback-obstacle-praise-edit.mp3	3722759	f63fca108233faa3f28c1ba9d553e1fc7b25ae176243429ad13945d46b2b04db
IX409EN-kangaroo-s-boomerang-bash	7	07_bush-track-blessings.mp3	4028787	474be6f3223ad1ce84447bd0e841f0d729f652d42203f098f9c26b5f060a3460
IX409EN-kangaroo-s-boomerang-bash	8	08_jesus-in-the-jump.mp3	2841957	9a1980d5c88e43e51a9edf91aaa298be0004c2e2899b27d1716042b036dbdd56
IX409EN-kangaroo-s-boomerang-bash	9	09_boxin-doubt-aussie-style.mp3	3335225	acd3c55d7d393f332c707043fa5a2c38fdb383211126a95897789158c95b3933
IX409EN-kangaroo-s-boomerang-bash	10	10_outback-shout.mp3	3173463	1c1095dc4cd191fbd7dbcf8801428d1546ad8dada938f4cd3293be8381ffaa98
IX409EN-kangaroo-s-boomerang-bash	11	11_boomerang-blessings.mp3	4288345	833883219aff8435d86d2478379216b7e1b21b0eaa677e5d677f19ef11065920
IX409EN-kangaroo-s-boomerang-bash	12	12_kangaroo-kingdom-bounce.mp3	3920325	055cd45978f7940b896b9a963a042bc55ff26120240ff15bc0b8ffcd15bf898c
IX410EN-hard-hydes-stomp	1	01_deputized-by-the-king.mp3	3676901	dda9173f18746b37a0d39f927df4901ce10e03d729fcc136f234573cf94ae2e6
IX410EN-hard-hydes-stomp	2	02_deputized-to-do-whats-right.mp3	3778821	a0a13cae0ec3280ae6563e726972cea0a789a4233ed5d5ddb01465d7de507427
IX410EN-hard-hydes-stomp	3	03_cow-tippin-aint-my-callin.mp3	4525771	a76e9d3b0eb6a6453b384c176bc87859dcdada0b2b1ccc03b38c2e27e3f21255
IX410EN-hard-hydes-stomp	4	04_talkin-straight-to-the-throne.mp3	3703271	1f8f230ab7563a43d92645256265948e82231d608a95aae2b351046755bd968d
IX410EN-hard-hydes-stomp	5	05_stomp-on-the-snake.mp3	3470065	d70360cb8aa8285acab2595a0056a687b435c4a0d83bf1158f6bfa93b72e11ed
IX410EN-hard-hydes-stomp	6	06_wanted-heart-full-of-faith.mp3	4027817	ee3105a9e2421d38da1c6f4659430e81a45862ba8dbd3ab89ec6e039582dfee7
IX410EN-hard-hydes-stomp	7	07_standin-strong-in-my-boots.mp3	4309625	78dc8da9ef4ae090f4430f60c107816829156d7e819e22aceeb3acfea87b63c2
IX410EN-hard-hydes-stomp	8	08_deputy-oink-and-the-hogwash-bandits.mp3	3738345	411376c553099e1e7eef0d65220fcd3b489ace28336a88f015293a9fb8594258
IX410EN-hard-hydes-stomp	9	09_sheriff-hyde-and-the-quack-attack.mp3	4395559	f2e119510493f1ff1ae01af08712c5fc20d97ee6882e69819a651ab8ec8b127e
IX410EN-hard-hydes-stomp	10	10_theres-power-in-that-name.mp3	4146737	35f11e4e5a51d8d1d857f915091c75bcd61ee1544aeeeb75952ca13706b7fd87
IX410EN-hard-hydes-stomp	11	11_slick-the-snake-and-the-slippery-lies.mp3	4596229	c2a9469480769faac4747993df8c66105ce566297c95ef2172cee5b34fb7d16f
